# NPs NSTEPS comp
1000 16385 6.448736
100 8193 0.115112
100 1048577 7.626641
100 65537 0.736342
100 65537 0.623268
100 2049 0.027374
10 262145 0.374762
10 262145 0.362788
100 16385 0.272858
100 257 0.007921
1000 131073 50.851023
10 524289 0.786077
100 16777217 274.371129
10 16385 0.021466
10 4097 0.005762
10 8388609 24.886860
100 262145 2.749163
100 8193 0.074404
10 16385 0.033380
10 4097 0.005481
100 16385 0.266888
10 4097 0.022464
1000 16385 7.476276
10 129 0.000292
10 1025 0.002160
10 262145 0.335475
10 1048577 1.280781
10000 1048577 31484.059691
100 4097 0.066502
100 131073 0.968725
100 262145 4.312540
1000 16777217 7466.675358
10 8388609 7.995995
1000 2097153 774.198174
100 1048577 10.982887
100 2097153 23.163166
100 1025 0.013326
100 524289 5.195065
10 524289 1.048695
10 1048577 1.459654
10 32769 0.034334
100 16385 0.138670
10 524289 0.667334
100 524289 5.417592
10 4097 0.008285
100 4097 0.066947
10 4194305 8.432906
10 8193 0.011912
10 16777217 25.779449
100 16385 0.187133
100 262145 2.501772
100 129 0.003965
10 129 0.000167
100 16385 0.264086
10 8193 0.016649
100 16385 0.228069
100 16385 0.215659
10 1025 0.002147
10 1048577 1.417746
10 2097153 2.654432
100 257 0.004326
10 4097 0.005814
1000 1048577 341.591208
100 4097 0.066495
100 524289 8.640860
100 1025 0.016259
10000 32769 1826.796915
10 16777217 16.765239
10 1048577 1.353308
10 262145 0.425322
100 524289 8.426065
100 1048577 16.854715
10 4097 0.009070
10000 131073 4797.404445
10 16385 0.033136
10 2097153 2.969378
10 1048577 2.111697
10 1025 0.004159
10 8193 0.016720
100 16385 0.165066
10000 131073 6077.503419
10000 16385 815.904005
1000 8388609 3699.125041
1000 65537 21.711093
100 262145 4.219185
10000 16385 523.482944
10 8193 0.011241
100 1025 0.013856
100 16385 0.267805
100 524289 5.032439
100 1048577 10.316055
100 131073 2.114679
1000 131073 46.098817
1000 8193 3.065011
100 524289 5.043582
10000 1048577 31353.177551
10 4097 0.007514
100 1048577 16.866023
1000 1048577 504.302856
100 32769 0.364865
100 2097153 33.782224
10 1048577 1.472018
100 32769 0.530227
1000 131073 44.875744
1000 65537 28.925556
100 4097 0.066583
100 1025 0.016743
100 4097 0.047518
10 1048577 0.988971
100 16385 0.175353
100 524289 5.467198
10000 8193 242.477915
1000 131073 59.071938
10 524289 0.601371
1000 8193 2.990076
100 16385 0.265460
100 262145 3.366627
1000 8388609 2861.065712
100 524289 6.194103
100 2097153 21.755708
10 16385 0.027533
100 2097153 21.696331
1000 1048577 401.344832
10 4097 0.008282
10 8193 0.008483
10 65537 0.104281
100 32769 0.331880
100 8193 0.114116
10 129 0.000583
10000 65537 3952.991965
10 524289 0.745541
10 257 0.000625
100 131073 0.965913
10 1048577 1.338918
100 4097 0.066479
1000 1048577 383.921182
100 131073 1.292875
10 257 0.001029
100 262145 2.651518
10 8193 0.011117
100 524289 8.426200
10 4097 0.008530
10 65537 0.108262
100 1048577 10.477717
10 524289 0.554592
10 4097 0.008421
10 8193 0.013899
1000 262145 117.504776
10 524289 0.672035
100 8193 0.091101
100 4097 0.045913
10 16385 0.021859
100 8193 0.059443
100 4097 0.057634
10000 524289 28989.711650
10 16385 0.025663
10 8193 0.011472
10 16385 0.033793
100 1048577 10.135920
100 2049 0.030982
100 16385 0.223547
100 524289 5.134302
10 1025 0.002395
10 8193 0.011649
100 8193 0.098850
10 16385 0.022341
10 524289 0.662524
10 16385 0.033819
100 16385 0.222161
10000 262145 14620.127423
100 262145 4.242118
10 1048577 1.324234
10 1048577 2.115492
100 2049 0.033275
10 2097153 2.724100
100 65537 1.062939
10 8193 0.016751
10 8193 0.011606
100 16385 0.167065
1000 524289 233.932916
10 262145 0.531985
1000 262145 99.694315
10000 16385 927.663708
10 262145 0.334799
100 8388609 108.661228
10 8193 0.013120
10 2097153 4.202274
1000 65537 23.661879
10 1048577 1.321460
10 129 0.000514
100 2097153 21.647217
10 1048577 1.350310
10 2097153 4.250168
100 8193 0.115627
100 1048577 10.834581
100 2097153 17.068861
100 32769 0.362169
1000 16385 5.685304
10 524289 0.677860
10000 524289 14645.200105
